rainfall,temperature,soil_moisture,soil_type,crop_type,area,yield,irrigation_required
82.1,28.5,65.2,loam,wheat,1000,320,45
110.3,32.1,72.5,clay,rice,1200,410,120
60.0,25.0,55.0,sandy,maize,900,210,30
95.2,30.2,68.0,loam,potato,1000,350,60
130.0,34.0,80.0,clay,rice,1500,500,150
70.0,27.0,60.0,sandy,wheat,800,180,25
85.0,29.0,66.0,loam,maize,1100,300,50
120.0,33.0,75.0,clay,potato,1300,420,110
55.0,24.0,50.0,sandy,rice,950,200,20
100.0,31.0,70.0,loam,wheat,1050,340,70
90.0,28.0,65.0,loam,maize,1000,310,55
115.0,32.5,78.0,clay,rice,1400,480,130
65.0,26.0,58.0,sandy,potato,850,170,22
105.0,30.5,72.0,loam,wheat,1200,360,80
125.0,35.0,82.0,clay,maize,1600,520,160
75.0,27.5,62.0,sandy,rice,900,190,28
88.0,29.5,67.0,loam,potato,1150,330,60
118.0,33.5,77.0,clay,wheat,1350,450,120
58.0,25.5,53.0,sandy,maize,950,210,18
98.0,30.0,69.0,loam,rice,1100,350,75
92.0,28.2,66.0,loam,wheat,1000,320,60
112.0,32.2,76.0,clay,maize,1250,400,110
62.0,25.2,56.0,sandy,potato,900,180,24
102.0,31.2,71.0,loam,rice,1200,370,85
128.0,34.2,81.0,clay,wheat,1550,510,155
72.0,27.2,61.0,sandy,maize,850,170,26
87.0,29.2,66.5,loam,potato,1120,320,58
119.0,33.2,78.5,clay,rice,1380,470,125
57.0,24.2,51.0,sandy,wheat,920,190,16
99.0,30.2,70.0,loam,maize,1080,330,72
93.0,28.7,67.2,loam,potato,1020,310,57
113.0,32.7,77.2,clay,wheat,1280,420,115
63.0,25.7,57.0,sandy,rice,970,200,22
103.0,31.7,72.0,loam,maize,1220,350,88
127.0,34.7,82.0,clay,potato,1580,530,162
73.0,27.7,62.0,sandy,wheat,870,175,27
89.0,29.7,68.0,loam,rice,1170,340,62
117.0,33.7,79.0,clay,maize,1420,460,128
59.0,25.7,54.0,sandy,potato,930,185,19
101.0,30.7,71.0,loam,wheat,1130,350,78
91.0,28.4,66.0,loam,maize,990,315,54
111.0,32.4,76.0,clay,potato,1230,410,108
61.0,25.4,55.0,sandy,rice,910,195,21
97.0,30.4,70.0,loam,wheat,1090,340,74
129.0,34.4,83.0,clay,maize,1620,540,170
71.0,27.4,60.0,sandy,potato,890,172,25
86.0,29.4,65.0,loam,rice,1110,325,56
116.0,33.4,78.0,clay,wheat,1370,455,122
56.0,24.4,52.0,sandy,maize,940,192,17 
